,title,genres,description,poster,url
0,Detective Conan Movie: The Story of Haibara Ai - Black Iron Mystery Train,"['Adventure', 'Police']","The movie will focus on Ai Haibara's past and will reconstruct the Mystery Train arc from the television anime, which shows Haibara and Conan meeting for the first time. The movie will also include scenes from the Kurogane no Submarine (Black Iron Submarine) movie.",https://img.flawlessfiles.com/_r/300x400/100/c1/f3/c1f3ad29aac1a9f9a56e0a84d61b3197/c1f3ad29aac1a9f9a56e0a84d61b3197.jpg,https://aniwatch.to/detective-conan-movie-the-story-of-haibara-ai-black-iron-mystery-train-18412
1,Tsurune Movie: Hajimari no Issha,"['School', 'Sports']",Movie adaptation of Tsurune: Kazemai Koukou Kyuudoubu.,https://img.flawlessfiles.com/_r/300x400/100/f4/0c/f40cf1a43b0d1eb573720c36cb57e3ad/f40cf1a43b0d1eb573720c36cb57e3ad.jpg,https://aniwatch.to/tsurune-movie-hajimari-no-issha-18411
2,Backflip!! The Movie,"['Comedy', 'Drama', 'Sports']","Ever since coming across the world of boy’s rhythmic gymnastics during the last summer of junior-high, Shotaro Futaba has become fascinated with the sport. So when he enters Soshokuan Private High School, known as Ao High for short, he heads to the boy’s rhythmic gymnastics club, where he meets unique seniors and the ace of the team, Ryoya Misato. The members of the club each have their own passions, but they’ve put it all on the line with a single goal in mind. Now the next stage in their journey has arrived: the inter-high competition!",https://img.flawlessfiles.com/_r/300x400/100/1e/7b/1e7b87aeba718fce56dc6d06f080d377/1e7b87aeba718fce56dc6d06f080d377.jpg,https://aniwatch.to/backflip-the-movie-18405
3,Mobile Suit Gundam: Cucuruz Doan's Island,"['Action', 'Mecha']","After a covert mission goes wrong, Mobile Suit pilot Amuro Ray and his comrades are stranded on a remote island. The battalion was sent to a land called the Island of No Return to clear off any enemy forces, only to find a group of children and an enemy mecha attack. Now Amuro must find a way for them all to escape this mysterious land, but not before meeting a strange man—Cucuruz Doan.",https://img.flawlessfiles.com/_r/300x400/100/3d/43/3d43b7440ffee15b5f94d4004210bc39/3d43b7440ffee15b5f94d4004210bc39.jpg,https://aniwatch.to/mobile-suit-gundam-cucuruz-doans-island-18400
4,"World, Before You End","['Drama', 'Romance', 'Sci-Fi']",Two people separated by time and space must unravel their tangled history before the world comes to an end.,https://img.flawlessfiles.com/_r/300x400/100/d0/79/d079be57326c232a87d8f4ce8a5e4b02/d079be57326c232a87d8f4ce8a5e4b02.jpg,https://aniwatch.to/world-before-you-end-18396
5,Kaguya-sama: Love is War - The First Kiss That Never Ends,"['Comedy', 'Drama', 'Romance']","After their first kiss, Kaguya Shinomiya and Miyuki Shirogane are left unsure where their relationship stands. The troubling uncertainty of whether they could be considered an official couple unleashes newfound problems as both Kaguya and Shirogane struggle to sort out their feelings.  While the lovestruck student council officers fret, the Christmas season rolls around, and romance is in the air. In the face of widespread tenderness, Kaguya and Shirogane must endure their affectionate battle of wits once more. Should they reconcile their feelings for one another, they may find themselves within reach of what they have both been longing for so long: true love.",https://img.flawlessfiles.com/_r/300x400/100/02/0c/020c0e42789c7d53c894285f680bc46c/020c0e42789c7d53c894285f680bc46c.jpg,https://aniwatch.to/kaguyasama-love-is-war-the-first-kiss-that-never-ends-18394
6,"The Tunnel to Summer, the Exit of Goodbye","['Mystery', 'Drama', 'Sci-Fi']","Kaoru Tono heard a rumor: The laws of space and time mean nothing to the Urashima Tunnel. If you find it, walk through and you'll find your heart's desire on the other side...in exchange for years of your own life. One night, Kaoru just so happens to find himself standing in front of a tunnel that looks suspiciously like the one the rumor describes. He finds himself thinking of Karen, the sister he lost in an accident five years ago.  To Kaoru's surprise, he's been followed by the new transfer student Anzu Hanashiro, who promises to help him experiment with the mysterious tunnel—but what does she want from Kaoru in exchange? And what will he have left to give, after the tunnel's done with him?",https://img.flawlessfiles.com/_r/300x400/100/3f/fe/3ffea3f5837c00ca78848fde8e7c8277/3ffea3f5837c00ca78848fde8e7c8277.jpg,https://aniwatch.to/the-tunnel-to-summer-the-exit-of-goodbye-18393
7,Delicious Party♡Pretty Cure Movie,"['Action', 'Fantasy', 'Shoujo']","The Children's Lunch Is Taking Place At A Theme Park!?
Everyone! I'm Nagomi Yui! A 2nd year middle school student who loves to eat!
In Oishiina Town where we live, a theme park for Children's Lunch has suddenly appeared!
It's all-you-can-play, all-you-can-eat!
Wow! I'm so hungry! Let's all try it!♪
There are so many attractions that make me delicious smile♡
It seems Kome-Kome and the others were treated to a Children's Lunch by the park director, Cait Sith. Everyone was having fun playing together, but...
What!? Oh my god!! Rosemary has been turned into a stuffed toy!?
Is there a secret to ""Dreamia""...!?
Just like the Children's Lunch, if our feelings become one, Kome-Kome will create a miracle!?",https://img.flawlessfiles.com/_r/300x400/100/11/16/111664a3496eeaa973254a6334710133/111664a3496eeaa973254a6334710133.jpg,https://aniwatch.to/delicious-partypretty-cure-movie-18324
8,"Goodbye, Don Glees!",['Adventure'],"Teen misfits Roma, Toto, and Drop call themselves the ""Don Glees,"" an informal name for their backyard adventures. One day, when the trio gets blamed for a nearby forest fire, they set off into the woods to prove their innocence. As disaster strikes their expedition, tensions flare between the friends as they realize that growing up has taken them on wildly different paths in life.",https://img.flawlessfiles.com/_r/300x400/100/ab/d2/abd28013a9ae0f6957c474ef7cef68d6/abd28013a9ae0f6957c474ef7cef68d6.jpg,https://aniwatch.to/goodbye-don-glees-18321
9,New Gods: Yang Jian,"['Action', 'Adventure', 'Fantasy']","Thirteen years after Yang Jian (known to some as Erlang Shen) imprisoned his sister beneath a mountain, the once powerful god now scrapes by as a penniless bounty hunter. When a mysterious woman hires him for a new job, Yang Jian soon finds himself chasing down a familiar figure. He must stop Chenxiang, his long-lost nephew, who is in search of the magical lotus lantern that will free his mother, even if it will bring catastrophe. As Yang Jian confronts the actions of his past, he must face a host of dangerous vigilantes seeking the same treasure with the power to alter the balance of their worlds.",https://img.flawlessfiles.com/_r/300x400/100/73/f9/73f9f94fc24718e742b35c903e461ba4/73f9f94fc24718e742b35c903e461ba4.jpg,https://aniwatch.to/new-gods-yang-jian-18316
